forecast_date,target_date,ticker,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,error_abs,error_pct,hit,direction_correct,graded_at,notes,poly_adjusted_p50,poly_adjusted_p10,poly_adjusted_p90,poly_signal,poly_confidence,poly_alignment,poly_adjustment_pct,poly_top_question
2026-05-03,2026-05-14,USDJPY=X,156.29982,157.103829,157.907838,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.103829,156.29982,157.907838,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,USDJPY=X,156.228996,157.033005,157.837014,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.033005,156.228996,157.837014,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,AUDUSD=X,0.713068,0.716755,0.720442,0.721293,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,0.004538,0.6331,0.0,1.0,2026-05-05T06:45:35.599336,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,AUDUSD=X,0.715582,0.719269,0.722955,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719269,0.715582,0.722955,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,AUDUSD=X,0.715346,0.719033,0.722719,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719033,0.715346,0.722719,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,AUDUSD=X,0.711418,0.716281,0.721144,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.716281,0.711418,0.721144,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,AUDUSD=X,0.715757,0.719444,0.723131,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719444,0.715757,0.723131,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,AUDUSD=X,0.711912,0.716899,0.721886,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.716899,0.711912,0.721886,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,AUDUSD=X,0.715582,0.719269,0.722955,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719269,0.715582,0.722955,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,AUDUSD=X,0.715397,0.719084,0.722771,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719084,0.715397,0.722771,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,AUDUSD=X,0.708987,0.716281,0.723575,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.716281,0.708987,0.723575,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
