date,ticker,spot,m1,m2,m3,regime,contango_m1_pct,contango_m2_pct,contango_m3_pct,roll_yield_annualized_pct,curve_slope
2026-05-30,NG=F,3.29,3.04,3.29,3.318,BACKWARDATION,-7.5988,0.0,0.8511,91.1856,9.1447
2026-05-30,SI=F,75.615997,75.615997,76.172997,76.716003,FLAT,0.0,0.7366,1.4547,-0.0,1.4547
2026-05-30,HG=F,6.3595,6.3595,6.4195,6.479,FLAT,0.0,0.9435,1.8791,-0.0,1.8791
2026-05-30,ZW=F,610.5,610.5,623.5,643.0,FLAT,0.0,2.1294,5.3235,-0.0,5.3235
2026-05-30,ZC=F,446.75,446.75,455.75,475.0,FLAT,0.0,2.0145,6.3234,-0.0,6.3234
2026-06-02,CL=F,91.779999,91.779999,88.940002,86.120003,FLAT,0.0,-3.0944,-6.1669,-0.0,-6.1669
2026-06-02,GC=F,4543.0,4543.0,4575.799805,4608.899902,FLAT,0.0,0.722,1.4506,-0.0,1.4506
2026-06-02,NG=F,3.101,3.101,3.133,3.102,FLAT,0.0,1.0319,0.0322,-0.0,0.0322
2026-06-02,SI=F,76.305,76.599998,76.088997,78.089996,CONTANGO,0.3866,-0.2831,2.3393,-4.6392,1.9452
2026-06-02,HG=F,6.663,6.642,6.701,6.805,BACKWARDATION,-0.3152,0.5703,2.1312,3.7824,2.4541
2026-06-02,ZW=F,603.0,603.0,615.5,635.0,FLAT,0.0,2.073,5.3068,-0.0,5.3068
2026-06-02,ZC=F,442.75,442.75,450.75,470.25,FLAT,0.0,1.8069,6.2112,-0.0,6.2112
2026-06-04,CL=F,92.910004,92.910004,89.93,86.940002,FLAT,0.0,-3.2074,-6.4256,-0.0,-6.4256
2026-06-04,GC=F,4502.399902,4502.399902,4535.200195,4568.600098,FLAT,0.0,0.7285,1.4703,-0.0,1.4703
2026-06-04,NG=F,3.357,3.357,3.39,3.35,FLAT,0.0,0.983,-0.2085,-0.0,-0.2085
2026-06-04,SI=F,74.125,74.589996,74.514,75.724998,CONTANGO,0.6273,0.5248,2.1585,-7.5276,1.5217
2026-06-04,HG=F,6.5295,6.562,6.632,6.679,CONTANGO,0.4977,1.5698,2.2896,-5.9724,1.783
2026-06-04,ZW=F,581.75,581.75,595.25,613.75,FLAT,0.0,2.3206,5.5006,-0.0,5.5006
2026-06-04,ZC=F,423.75,423.75,432.0,451.5,FLAT,0.0,1.9469,6.5487,-0.0,6.5487
2026-06-05,CL=F,89.989998,89.989998,87.540001,84.970001,FLAT,0.0,-2.7225,-5.5784,-0.0,-5.5784
2026-06-05,GC=F,4364.700195,4364.700195,4395.600098,4429.299805,FLAT,0.0,0.708,1.48,-0.0,1.48
2026-06-05,NG=F,3.226,3.226,3.261,3.233,FLAT,0.0,1.0849,0.217,-0.0,0.217
2026-06-05,SI=F,69.014999,69.485001,71.360001,70.199997,CONTANGO,0.681,3.3978,1.717,-8.172,1.029
2026-06-05,HG=F,6.2835,6.3165,6.374,6.433,CONTANGO,0.5252,1.4403,2.3792,-6.3024,1.8444
2026-06-05,ZW=F,578.5,578.5,591.5,610.5,FLAT,0.0,2.2472,5.5315,-0.0,5.5315
2026-06-05,ZC=F,416.5,416.5,426.0,445.0,FLAT,0.0,2.2809,6.8427,-0.0,6.8427
2026-06-06,CL=F,90.540001,90.540001,87.989998,85.330002,FLAT,0.0,-2.8164,-5.7544,-0.0,-5.7544
2026-06-06,GC=F,4337.100098,4365.299805,4396.100098,4429.0,CONTANGO,0.6502,1.3604,2.1189,-7.8024,1.4592
2026-06-06,NG=F,3.229,3.229,3.27,3.244,FLAT,0.0,1.2697,0.4645,-0.0,0.4645
2026-06-06,SI=F,68.943001,69.373001,69.878998,70.388,CONTANGO,0.6237,1.3576,2.0959,-7.4844,1.4631
2026-06-06,HG=F,6.2635,6.315,6.375,6.4355,CONTANGO,0.8222,1.7802,2.7461,-9.8664,1.9082
2026-06-06,ZW=F,580.0,580.0,592.75,611.5,FLAT,0.0,2.1983,5.431,-0.0,5.431
2026-06-06,ZC=F,417.5,417.5,427.0,446.0,FLAT,0.0,2.2754,6.8263,-0.0,6.8263
2026-06-09,CL=F,91.160004,91.160004,89.120003,86.879997,FLAT,0.0,-2.2378,-4.695,-0.0,-4.695
2026-06-09,GC=F,4344.600098,4344.600098,4373.899902,4403.399902,FLAT,0.0,0.6744,1.3534,-0.0,1.3534
2026-06-09,NG=F,3.136,3.136,3.184,3.163,FLAT,0.0,1.5306,0.861,-0.0,0.861
2026-06-09,SI=F,68.029999,68.389999,69.239998,69.489998,CONTANGO,0.5292,1.7786,2.1461,-6.3504,1.6084
2026-06-09,HG=F,6.322,6.3605,6.4395,6.4695,CONTANGO,0.609,1.8586,2.3331,-7.308,1.7137
2026-06-09,ZW=F,583.75,583.75,596.25,614.0,FLAT,0.0,2.1413,5.182,-0.0,5.182
2026-06-09,ZC=F,420.25,420.25,429.0,447.75,FLAT,0.0,2.0821,6.5437,-0.0,6.5437
2026-06-10,CL=F,89.199997,89.199997,87.57,85.599998,FLAT,0.0,-1.8274,-4.0359,-0.0,-4.0359
2026-06-10,GC=F,4241.600098,4241.600098,4268.600098,4305.299805,FLAT,0.0,0.6366,1.5018,-0.0,1.5018
2026-06-10,NG=F,3.138,3.138,3.18,3.16,FLAT,0.0,1.3384,0.7011,-0.0,0.7011
2026-06-10,SI=F,64.940002,65.165001,69.350998,66.120003,CONTANGO,0.3465,6.7924,1.8171,-4.158,1.4655
2026-06-10,HG=F,6.3295,6.3675,6.412,6.481,CONTANGO,0.6004,1.3034,2.3936,-7.2048,1.7825
2026-06-10,ZW=F,585.0,585.0,596.25,614.0,FLAT,0.0,1.9231,4.9573,-0.0,4.9573
2026-06-10,ZC=F,420.0,420.0,427.5,445.0,FLAT,0.0,1.7857,5.9524,-0.0,5.9524
2026-06-11,CL=F,92.260002,92.260002,90.339996,88.150002,FLAT,0.0,-2.0811,-4.4548,-0.0,-4.4548
2026-06-11,GC=F,4087.699951,4086.399902,4122.0,4149.600098,FLAT,-0.0318,0.8391,1.5143,0.3816,1.5466
2026-06-11,NG=F,3.185,3.185,3.228,3.205,FLAT,0.0,1.3501,0.6279,-0.0,0.6279
2026-06-11,SI=F,63.095001,62.724998,65.960999,63.985001,BACKWARDATION,-0.5864,4.5424,1.4106,7.0368,2.0088
2026-06-11,HG=F,6.202,6.227,6.354,6.354,CONTANGO,0.4031,2.4508,2.4508,-4.8372,2.0395
2026-06-11,ZW=F,588.25,588.25,600.5,617.25,FLAT,0.0,2.0824,4.9299,-0.0,4.9299
2026-06-11,ZC=F,419.0,419.0,427.75,447.25,FLAT,0.0,2.0883,6.7422,-0.0,6.7422
2026-06-12,CL=F,86.239998,86.239998,84.779999,83.300003,FLAT,0.0,-1.6929,-3.4091,-0.0,-3.4091
2026-06-12,GC=F,4239.600098,4239.600098,4266.700195,4299.100098,FLAT,0.0,0.6392,1.4034,-0.0,1.4034
2026-06-12,NG=F,3.075,3.075,3.121,3.097,FLAT,0.0,1.4959,0.7154,-0.0,0.7154
2026-06-12,SI=F,67.589996,67.769997,65.445999,69.099998,FLAT,0.2663,-3.1721,2.2341,-3.1956,1.9625
2026-06-12,HG=F,6.3905,6.43,6.3555,6.535,CONTANGO,0.6181,-0.5477,2.2612,-7.4172,1.633
2026-06-12,ZW=F,588.75,588.75,600.25,616.75,FLAT,0.0,1.9533,4.7558,-0.0,4.7558
